# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-06-03 10:56:13 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05400513 PLOVER RIVER AT HIGHWAY 66 AT STEVENS POINT, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05400513
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
USGS	05400513	2010-08-14	265	A
USGS	05400513	2010-08-15	249	A
USGS	05400513	2010-08-16	227	A
USGS	05400513	2010-08-17	204	A
USGS	05400513	2010-08-18	210	A
USGS	05400513	2010-08-19	185	A
USGS	05400513	2010-08-20	183	A
USGS	05400513	2010-08-21	158	A
USGS	05400513	2010-08-22	148	A
USGS	05400513	2010-08-23	140	A
USGS	05400513	2010-08-24	137	A
USGS	05400513	2010-08-25	132	A
USGS	05400513	2010-08-26	130	A
USGS	05400513	2010-08-27	120	A
USGS	05400513	2010-08-28	112	A
USGS	05400513	2010-08-29	109	A
USGS	05400513	2010-08-30	107	A
USGS	05400513	2010-08-31	111	A
USGS	05400513	2010-09-01	137	A
USGS	05400513	2010-09-02	158	A
USGS	05400513	2010-09-03	225	A
USGS	05400513	2010-09-04	258	A
USGS	05400513	2010-09-05	237	A
USGS	05400513	2010-09-06	188	A
USGS	05400513	2010-09-07	142	A
USGS	05400513	2010-09-08	147	A
USGS	05400513	2010-09-09	153	A
USGS	05400513	2010-09-10	143	A
USGS	05400513	2010-09-11	145	A
USGS	05400513	2010-09-12	139	A
USGS	05400513	2010-09-13	134	A
USGS	05400513	2010-09-14	137	A
USGS	05400513	2010-09-15	142	A
USGS	05400513	2010-09-16	167	A
USGS	05400513	2010-09-17	249	A
USGS	05400513	2010-09-18	254	A
USGS	05400513	2010-09-19	257	A
USGS	05400513	2010-09-20	239	A
USGS	05400513	2010-09-21	212	A
USGS	05400513	2010-09-22	192	A
USGS	05400513	2010-09-23	381	A
USGS	05400513	2010-09-24	670	A
USGS	05400513	2010-09-25	720	A
USGS	05400513	2010-09-26	695	A
USGS	05400513	2010-09-27	632	A
USGS	05400513	2010-09-28	581	A
USGS	05400513	2010-09-29	512	A
USGS	05400513	2010-09-30	467	A
USGS	05400513	2010-10-01	413	A
USGS	05400513	2010-10-02	374	A
USGS	05400513	2010-10-03	346	A
USGS	05400513	2010-10-04	305	A
USGS	05400513	2010-10-05	282	A
USGS	05400513	2010-10-06	269	A
USGS	05400513	2010-10-07	254	A
USGS	05400513	2010-10-08	233	A
USGS	05400513	2010-10-09	223	A
USGS	05400513	2010-10-10	211	A
USGS	05400513	2010-10-11	173	A
USGS	05400513	2010-10-12	192	A
USGS	05400513	2010-10-13	191	A
USGS	05400513	2010-10-14	188	A
USGS	05400513	2010-10-15	182	A
USGS	05400513	2010-10-16	177	A
USGS	05400513	2010-10-17	173	A
USGS	05400513	2010-10-18	168	A
USGS	05400513	2010-10-19	165	A
USGS	05400513	2010-10-20	164	A
USGS	05400513	2010-10-21	165	A
USGS	05400513	2010-10-22	165	A
USGS	05400513	2010-10-23	175	A
USGS	05400513	2010-10-24	208	A
USGS	05400513	2010-10-25	212	A
USGS	05400513	2010-10-26	245	A
USGS	05400513	2010-10-27	296	A
USGS	05400513	2010-10-28	300	A
USGS	05400513	2010-10-29	292	A
USGS	05400513	2010-10-30	283	A
USGS	05400513	2010-10-31	246	A
USGS	05400513	2010-11-01	205	A
USGS	05400513	2010-11-02	204	A
USGS	05400513	2010-11-03	201	A
USGS	05400513	2010-11-04	189	A
USGS	05400513	2010-11-05	186	A
USGS	05400513	2010-11-06	184	A
USGS	05400513	2010-11-07	157	A
USGS	05400513	2010-11-08	161	A
USGS	05400513	2010-11-09	165	A
USGS	05400513	2010-11-10	169	A
USGS	05400513	2010-11-11	166	A
USGS	05400513	2010-11-12	166	A
USGS	05400513	2010-11-13	184	A
USGS	05400513	2010-11-14	229	A
USGS	05400513	2010-11-15	246	A
USGS	05400513	2010-11-16	258	A
USGS	05400513	2010-11-17	254	A
USGS	05400513	2010-11-18	236	A
USGS	05400513	2010-11-19	222	A
USGS	05400513	2010-11-20	199	A
USGS	05400513	2010-11-21	197	A
USGS	05400513	2010-11-22	192	A
USGS	05400513	2010-11-23	222	A
USGS	05400513	2010-11-24	254	A
USGS	05400513	2010-11-25	237	A
USGS	05400513	2010-11-26	246	A
USGS	05400513	2010-11-27	169	A
USGS	05400513	2010-11-28	126	A
USGS	05400513	2010-11-29	177	A
USGS	05400513	2010-11-30	246	A
USGS	05400513	2010-12-01	206	A
USGS	05400513	2010-12-02	197	A
USGS	05400513	2010-12-03	177	A:e
USGS	05400513	2010-12-04	156	A
USGS	05400513	2010-12-05	157	A
USGS	05400513	2010-12-06	155	A:e
USGS	05400513	2010-12-07	155	A:e
USGS	05400513	2010-12-08	154	A:e
USGS	05400513	2010-12-09	142	A:e
USGS	05400513	2010-12-10	128	A
USGS	05400513	2010-12-11	115	A:e
USGS	05400513	2010-12-12	103	A:e
USGS	05400513	2010-12-13	123	A:e
USGS	05400513	2010-12-14	153	A:e
USGS	05400513	2010-12-15	162	A:e
USGS	05400513	2010-12-16	160	A:e
USGS	05400513	2010-12-17	155	A:e
USGS	05400513	2010-12-18	163	A:e
USGS	05400513	2010-12-19	165	A:e
USGS	05400513	2010-12-20	158	A:e
USGS	05400513	2010-12-21	160	A:e
USGS	05400513	2010-12-22	161	A:e
USGS	05400513	2010-12-23	149	A:e
USGS	05400513	2010-12-24	152	A:e
USGS	05400513	2010-12-25	159	A
USGS	05400513	2010-12-26	153	A
USGS	05400513	2010-12-27	150	A
USGS	05400513	2010-12-28	150	A
USGS	05400513	2010-12-29	148	A:e
USGS	05400513	2010-12-30	145	A
USGS	05400513	2010-12-31	154	A
USGS	05400513	2011-01-01	138	A:e
USGS	05400513	2011-01-02	111	A:e
USGS	05400513	2011-01-03	187	A:e
USGS	05400513	2011-01-04	155	A:e
USGS	05400513	2011-01-05	151	A:e
USGS	05400513	2011-01-06	143	A:e
USGS	05400513	2011-01-07	142	A:e
USGS	05400513	2011-01-08	147	A:e
USGS	05400513	2011-01-09	145	A:e
USGS	05400513	2011-01-10	144	A:e
USGS	05400513	2011-01-11	153	A:e
USGS	05400513	2011-01-12	145	A:e
USGS	05400513	2011-01-13	149	A:e
USGS	05400513	2011-01-14	153	A
USGS	05400513	2011-01-15	140	A:e
USGS	05400513	2011-01-16	129	A:e
USGS	05400513	2011-01-17	150	A:e
USGS	05400513	2011-01-18	149	A:e
USGS	05400513	2011-01-19	141	A:e
USGS	05400513	2011-01-20	129	A:e
USGS	05400513	2011-01-21	120	A:e
USGS	05400513	2011-01-22	179	A:e
USGS	05400513	2011-01-23	152	A:e
USGS	05400513	2011-01-24	144	A:e
USGS	05400513	2011-01-25	141	A:e
USGS	05400513	2011-01-26	140	A:e
USGS	05400513	2011-01-27	144	A:e
USGS	05400513	2011-01-28	139	A:e
USGS	05400513	2011-01-29	149	A
USGS	05400513	2011-01-30	146	A
USGS	05400513	2011-01-31	140	A:e
USGS	05400513	2011-02-01	142	A:e
USGS	05400513	2011-02-02	143	A:e
USGS	05400513	2011-02-03	125	A:e
USGS	05400513	2011-02-04	158	A:e
USGS	05400513	2011-02-05	129	A:e
USGS	05400513	2011-02-06	132	A
USGS	05400513	2011-02-07	132	A
USGS	05400513	2011-02-08	123	A:e
USGS	05400513	2011-02-09	99	A:e
USGS	05400513	2011-02-10	138	A:e
USGS	05400513	2011-02-11	162	A:e
USGS	05400513	2011-02-12	140	A:e
USGS	05400513	2011-02-13	141	A:e
USGS	05400513	2011-02-14	143	A:e
USGS	05400513	2011-02-15	140	A
USGS	05400513	2011-02-16	134	A
USGS	05400513	2011-02-17	143	A
USGS	05400513	2011-02-18	168	A
USGS	05400513	2011-02-19	182	A:e
USGS	05400513	2011-02-20	183	A:e
USGS	05400513	2011-02-21	179	A:e
USGS	05400513	2011-02-22	177	A:e
USGS	05400513	2011-02-23	176	A:e
USGS	05400513	2011-02-24	178	A:e
USGS	05400513	2011-02-25	178	A:e
USGS	05400513	2011-02-26	173	A:e
USGS	05400513	2011-02-27	168	A:e
USGS	05400513	2011-02-28	155	A:e
USGS	05400513	2011-03-01	147	A:e
USGS	05400513	2011-03-02	146	A:e
USGS	05400513	2011-03-03	146	A:e
USGS	05400513	2011-03-04	143	A
USGS	05400513	2011-03-05	121	A
USGS	05400513	2011-03-06	168	A:e
USGS	05400513	2011-03-07	144	A
USGS	05400513	2011-03-08	145	A
USGS	05400513	2011-03-09	145	A
USGS	05400513	2011-03-10	142	A
USGS	05400513	2011-03-11	144	A:e
USGS	05400513	2011-03-12	145	A:e
USGS	05400513	2011-03-13	139	A
USGS	05400513	2011-03-14	145	A:e
USGS	05400513	2011-03-15	143	A:e
USGS	05400513	2011-03-16	139	A
USGS	05400513	2011-03-17	148	A
USGS	05400513	2011-03-18	162	A:e
USGS	05400513	2011-03-19	174	A:e
USGS	05400513	2011-03-20	247	A:e
USGS	05400513	2011-03-21	303	A
USGS	05400513	2011-03-22	336	A
USGS	05400513	2011-03-23	352	A
USGS	05400513	2011-03-24	246	A
USGS	05400513	2011-03-25	314	A
USGS	05400513	2011-03-26	322	A:e
USGS	05400513	2011-03-27	310	A:e
USGS	05400513	2011-03-28	274	A
USGS	05400513	2011-03-29	256	A
USGS	05400513	2011-03-30	251	A
USGS	05400513	2011-03-31	261	A
USGS	05400513	2011-04-01	262	A
USGS	05400513	2011-04-02	264	A
USGS	05400513	2011-04-03	287	A
USGS	05400513	2011-04-04	336	A
USGS	05400513	2011-04-05	366	A
USGS	05400513	2011-04-06	402	A
USGS	05400513	2011-04-07	443	A
USGS	05400513	2011-04-08	472	A
USGS	05400513	2011-04-09	513	A
USGS	05400513	2011-04-10	615	A
USGS	05400513	2011-04-11	713	A
USGS	05400513	2011-04-12	730	A
USGS	05400513	2011-04-13	727	A
USGS	05400513	2011-04-14	693	A
USGS	05400513	2011-04-15	643	A
USGS	05400513	2011-04-16	586	A
USGS	05400513	2011-04-17	532	A
USGS	05400513	2011-04-18	500	A
USGS	05400513	2011-04-19	464	A
USGS	05400513	2011-04-20	457	A
USGS	05400513	2011-04-21	422	A
USGS	05400513	2011-04-22	419	A
USGS	05400513	2011-04-23	435	A
USGS	05400513	2011-04-24	443	A
USGS	05400513	2011-04-25	439	A
USGS	05400513	2011-04-26	444	A
USGS	05400513	2011-04-27	458	A
USGS	05400513	2011-04-28	454	A
USGS	05400513	2011-04-29	463	A
USGS	05400513	2011-04-30	454	A
USGS	05400513	2011-05-01	436	A
USGS	05400513	2011-05-02	413	A
USGS	05400513	2011-05-03	388	A
USGS	05400513	2011-05-04	363	A
USGS	05400513	2011-05-05	342	A
USGS	05400513	2011-05-06	337	A
USGS	05400513	2011-05-07	325	A
USGS	05400513	2011-05-08	291	A
USGS	05400513	2011-05-09	294	A
USGS	05400513	2011-05-10	311	A
USGS	05400513	2011-05-11	315	A
USGS	05400513	2011-05-12	328	A
USGS	05400513	2011-05-13	352	A
USGS	05400513	2011-05-14	346	A
USGS	05400513	2011-05-15	333	A
USGS	05400513	2011-05-16	318	A
USGS	05400513	2011-05-17	281	A
USGS	05400513	2011-05-18	275	A
USGS	05400513	2011-05-19	262	A
USGS	05400513	2011-05-20	248	A
USGS	05400513	2011-05-21	261	A
USGS	05400513	2011-05-22	258	A
USGS	05400513	2011-05-23	269	A
USGS	05400513	2011-05-24	286	A
USGS	05400513	2011-05-25	294	A
USGS	05400513	2011-05-26	294	A
USGS	05400513	2011-05-27	287	A
USGS	05400513	2011-05-28	263	A
USGS	05400513	2011-05-29	232	A
USGS	05400513	2011-05-30	208	A
USGS	05400513	2011-05-31	214	A
USGS	05400513	2011-06-01	213	A
USGS	05400513	2011-06-02	197	A
USGS	05400513	2011-06-03	185	A
USGS	05400513	2011-06-04	171	A
USGS	05400513	2011-06-05	162	A
USGS	05400513	2011-06-06	153	A
USGS	05400513	2011-06-07	146	A
USGS	05400513	2011-06-08	143	A
USGS	05400513	2011-06-09	140	A
USGS	05400513	2011-06-10	133	A
USGS	05400513	2011-06-11	145	A
USGS	05400513	2011-06-12	152	A
USGS	05400513	2011-06-13	149	A
USGS	05400513	2011-06-14	148	A
USGS	05400513	2011-06-15	154	A
USGS	05400513	2011-06-16	157	A
USGS	05400513	2011-06-17	155	A
USGS	05400513	2011-06-18	162	A
USGS	05400513	2011-06-19	191	A
USGS	05400513	2011-06-20	265	A
USGS	05400513	2011-06-21	268	A
USGS	05400513	2011-06-22	305	A
USGS	05400513	2011-06-23	344	A
USGS	05400513	2011-06-24	431	A
USGS	05400513	2011-06-25	471	A
USGS	05400513	2011-06-26	456	A
USGS	05400513	2011-06-27	396	A
USGS	05400513	2011-06-28	365	A
USGS	05400513	2011-06-29	313	A
USGS	05400513	2011-06-30	301	A
USGS	05400513	2011-07-01	258	A
USGS	05400513	2011-07-02	201	A
USGS	05400513	2011-07-03	208	A
USGS	05400513	2011-07-04	196	A
USGS	05400513	2011-07-05	182	A
USGS	05400513	2011-07-06	180	A
USGS	05400513	2011-07-07	168	A
USGS	05400513	2011-07-08	169	A
USGS	05400513	2011-07-09	164	A
USGS	05400513	2011-07-10	163	A
USGS	05400513	2011-07-11	170	A
USGS	05400513	2011-07-12	196	A
USGS	05400513	2011-07-13	158	A
USGS	05400513	2011-07-14	159	A
USGS	05400513	2011-07-15	157	A
USGS	05400513	2011-07-16	152	A
USGS	05400513	2011-07-17	151	A
USGS	05400513	2011-07-18	146	A
USGS	05400513	2011-07-19	165	A
USGS	05400513	2011-07-20	305	A
USGS	05400513	2011-07-21	278	A
USGS	05400513	2011-07-22	278	A
USGS	05400513	2011-07-23	244	A
USGS	05400513	2011-07-24	227	A
USGS	05400513	2011-07-25	230	A
USGS	05400513	2011-07-26	209	A
USGS	05400513	2011-07-27	208	A
USGS	05400513	2011-07-28	225	A
USGS	05400513	2011-07-29	274	A
USGS	05400513	2011-07-30	253	A
USGS	05400513	2011-07-31	211	A
USGS	05400513	2011-08-01	196	A
USGS	05400513	2011-08-02	248	A
USGS	05400513	2011-08-03	286	A
USGS	05400513	2011-08-04	230	A
USGS	05400513	2011-08-05	263	A
USGS	05400513	2011-08-06	255	A
USGS	05400513	2011-08-07	242	A
USGS	05400513	2011-08-08	284	A
USGS	05400513	2011-08-09	302	A
USGS	05400513	2011-08-10	306	A
USGS	05400513	2011-08-11	294	A
USGS	05400513	2011-08-12	270	A
USGS	05400513	2011-08-13	239	A
USGS	05400513	2011-08-14	231	A
USGS	05400513	2011-08-15	207	A
USGS	05400513	2011-08-16	196	A
USGS	05400513	2011-08-17	169	A
USGS	05400513	2011-08-18	170	A
USGS	05400513	2011-08-19	187	A
USGS	05400513	2011-08-20	163	A
USGS	05400513	2011-08-21	170	A
USGS	05400513	2011-08-22	136	A
USGS	05400513	2011-08-23	129	A
USGS	05400513	2011-08-24	131	A
USGS	05400513	2011-08-25	147	A
USGS	05400513	2011-08-26	142	A
USGS	05400513	2011-08-27	140	A
USGS	05400513	2011-08-28	135	A
USGS	05400513	2011-08-29	132	A
USGS	05400513	2011-08-30	131	A
USGS	05400513	2011-08-31	129	A
USGS	05400513	2011-09-01	139	A
USGS	05400513	2011-09-02	140	A
USGS	05400513	2011-09-03	146	A
USGS	05400513	2011-09-04	158	A
USGS	05400513	2011-09-05	181	A
USGS	05400513	2011-09-06	175	A
USGS	05400513	2011-09-07	152	A
USGS	05400513	2011-09-08	164	A
USGS	05400513	2011-09-09	154	A
USGS	05400513	2011-09-10	137	A
USGS	05400513	2011-09-11	133	A
USGS	05400513	2011-09-12	127	A
USGS	05400513	2011-09-13	126	A
USGS	05400513	2011-09-14	125	A
USGS	05400513	2011-09-15	124	A
USGS	05400513	2011-09-16	124	A
USGS	05400513	2011-09-17	124	A
USGS	05400513	2011-09-18	126	A
USGS	05400513	2011-09-19	134	A
USGS	05400513	2011-09-20	142	A
USGS	05400513	2011-09-21	144	A
USGS	05400513	2011-09-22	142	A
USGS	05400513	2011-09-23	140	A
USGS	05400513	2011-09-24	140	A
USGS	05400513	2011-09-25	141	A
USGS	05400513	2011-09-26	175	A
USGS	05400513	2011-09-27	197	A
USGS	05400513	2011-09-28	246	A
USGS	05400513	2011-09-29	257	A
USGS	05400513	2011-09-30	259	A
USGS	05400513	2011-10-01	249	A
USGS	05400513	2011-10-02	218	A
USGS	05400513	2011-10-03	193	A
USGS	05400513	2011-10-04	177	A
USGS	05400513	2011-10-05	170	A
USGS	05400513	2011-10-06	160	A
USGS	05400513	2011-10-07	136	A
USGS	05400513	2011-10-08	145	A
USGS	05400513	2011-10-09	150	A
USGS	05400513	2011-10-10	167	A
USGS	05400513	2011-10-11	146	A
USGS	05400513	2011-10-12	144	A
USGS	05400513	2011-10-13	159	A
USGS	05400513	2011-10-14	182	A
USGS	05400513	2011-10-15	185	A
USGS	05400513	2011-10-16	210	A
USGS	05400513	2011-10-17	219	A
USGS	05400513	2011-10-18	171	A
USGS	05400513	2011-10-19	187	A
USGS	05400513	2011-10-20	185	A
USGS	05400513	2011-10-21	160	A
USGS	05400513	2011-10-22	158	A
USGS	05400513	2011-10-23	158	A
USGS	05400513	2011-10-24	160	A
USGS	05400513	2011-10-25	160	A
USGS	05400513	2011-10-26	159	A
USGS	05400513	2011-10-27	157	A
USGS	05400513	2011-10-28	156	A
USGS	05400513	2011-10-29	155	A
USGS	05400513	2011-10-30	154	A
USGS	05400513	2011-10-31	154	A
USGS	05400513	2011-11-01	158	A
USGS	05400513	2011-11-02	160	A
USGS	05400513	2011-11-03	161	A
USGS	05400513	2011-11-04	179	A
USGS	05400513	2011-11-05	159	A
USGS	05400513	2011-11-06	153	A
USGS	05400513	2011-11-07	152	A
USGS	05400513	2011-11-08	152	A
USGS	05400513	2011-11-09	155	A
USGS	05400513	2011-11-10	196	A
USGS	05400513	2011-11-11	167	A
USGS	05400513	2011-11-12	189	A
USGS	05400513	2011-11-13	207	A
USGS	05400513	2011-11-14	195	A
USGS	05400513	2011-11-15	202	A
USGS	05400513	2011-11-16	208	A
USGS	05400513	2011-11-17	194	A
USGS	05400513	2011-11-18	192	A
USGS	05400513	2011-11-19	182	A
USGS	05400513	2011-11-20	174	A
USGS	05400513	2011-11-21	173	A
USGS	05400513	2011-11-22	170	A
USGS	05400513	2011-11-23	165	A
USGS	05400513	2011-11-24	161	A
USGS	05400513	2011-11-25	154	A
USGS	05400513	2011-11-26	163	A
USGS	05400513	2011-11-27	185	A:e
USGS	05400513	2011-11-28	183	A:e
USGS	05400513	2011-11-29	180	A
USGS	05400513	2011-11-30	175	A
USGS	05400513	2011-12-01	158	A
USGS	05400513	2011-12-02	163	A
USGS	05400513	2011-12-03	162	A
USGS	05400513	2011-12-04	187	A
USGS	05400513	2011-12-05	193	A
USGS	05400513	2011-12-06	211	A
USGS	05400513	2011-12-07	183	A
USGS	05400513	2011-12-08	152	A
USGS	05400513	2011-12-09	143	A:e
USGS	05400513	2011-12-10	140	A:e
USGS	05400513	2011-12-11	137	A
USGS	05400513	2011-12-12	142	A
USGS	05400513	2011-12-13	144	A:e
USGS	05400513	2011-12-14	153	A
USGS	05400513	2011-12-15	157	A
USGS	05400513	2011-12-16	154	A:e
USGS	05400513	2011-12-17	149	A:e
USGS	05400513	2011-12-18	145	A
USGS	05400513	2011-12-19	151	A
USGS	05400513	2011-12-20	148	A:e
USGS	05400513	2011-12-21	146	A
USGS	05400513	2011-12-22	144	A
USGS	05400513	2011-12-23	153	A
USGS	05400513	2011-12-24	145	A
USGS	05400513	2011-12-25	133	A
USGS	05400513	2011-12-26	138	A
USGS	05400513	2011-12-27	139	A
USGS	05400513	2011-12-28	130	A:e
USGS	05400513	2011-12-29	128	A:e
USGS	05400513	2011-12-30	128	A:e
USGS	05400513	2011-12-31	130	A:e
USGS	05400513	2012-01-01	130	A:e
USGS	05400513	2012-01-02	125	A:e
USGS	05400513	2012-01-03	114	A:e
USGS	05400513	2012-01-04	109	A:e
USGS	05400513	2012-01-05	114	A:e
USGS	05400513	2012-01-06	120	A:e
USGS	05400513	2012-01-07	124	A:e
USGS	05400513	2012-01-08	127	A:e
USGS	05400513	2012-01-09	129	A:e
USGS	05400513	2012-01-10	129	A:e
USGS	05400513	2012-01-11	130	A:e
USGS	05400513	2012-01-12	130	A:e
USGS	05400513	2012-01-13	131	A:e
USGS	05400513	2012-01-14	126	A:e
USGS	05400513	2012-01-15	122	A:e
USGS	05400513	2012-01-16	119	A:e
USGS	05400513	2012-01-17	121	A:e
USGS	05400513	2012-01-18	121	A:e
USGS	05400513	2012-01-19	120	A:e
USGS	05400513	2012-01-20	119	A:e
USGS	05400513	2012-01-21	127	A:e
USGS	05400513	2012-01-22	139	A:e
USGS	05400513	2012-01-23	150	A:e
USGS	05400513	2012-01-24	153	A:e
USGS	05400513	2012-01-25	149	A:e
USGS	05400513	2012-01-26	140	A:e
USGS	05400513	2012-01-27	136	A:e
